reference	quantity	Part number	Function	Value	TolN	TolP
C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C123,C124,C145,C157,C159,C160,C164,C170,C171,C172,C173,C174,C216,C217,C299,C301,C304,C307,C308,C309,C310,C311,C312,C313,C314,C315,C316,C317,C318,C319,C320,C321,C322,C323,C324,C325,C326,C327,C328,C329,C330,C331,C348,C349,C350,C355,C356,C359,C360,C361	82	0402X104K500SNT	CAPACITOR	0.1uF	10	10
C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64	32	GMC04X7R102J50NT	CAPACITOR	1nF	5	5
C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96	32	04023C103KAT2A	CAPACITOR	10nF	10	10
C097,C098,C099,C100,C101,C102,C103,C104	8	1206B102J202NT	CAPACITOR	1nF	5	5
C105,C106,C107,C108,C109,C110	6	C1210C476M9RAC	CAPACITOR	47uF	20	20
C111	1	04025C222KAT2A	CAPACITOR	2.2nF	10	10
C112	1	04025A220JAT2A	CAPACITOR	22pF	5	5
C113	1	0402-3-C-332-K-AT-2-	CAPACITOR	3.3nF	10	10
C114,C115	2	1812X226K500SNT	CAPACITOR	22uF	10	10
C116	1	C1608X7R1H104K	CAPACITOR	0.1uF	10	10
C117,C118,C119,C120,C121,C122	6	GMC21X7R226M6R3NT	CAPACITOR	22uF	20	20
C125,C185,C186	3	C1608X5R1H105K	CAPACITOR	1uF	10	10
C126,C127,C335	3	VJ0402Y103KXXAT	CAPACITOR	10nF	10	10
C128,C129,C132,C137	4	CC0402MRX5R5BB106	CAPACITOR	10uF	20	20
